Tools,Port 3: NDI 8700449  s/n:3532DC02,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error
1,3,144814,1,OK,0.1292550,0.9827342,-0.1208578,-0.0540374,45.301,187.897,-66.056,0.2066879
1,3,144817,1,OK,0.1291938,0.9827964,-0.1200477,-0.0548529,45.039,187.912,-66.105,0.1883881
1,3,144820,1,OK,0.1295594,0.9824918,-0.1220249,-0.0550831,45.174,187.869,-66.147,0.1953503
1,3,144823,1,OK,0.1293807,0.9826139,-0.1214118,-0.0546784,45.242,187.869,-66.108,0.2077565
1,3,144826,1,OK,0.1292675,0.9827022,-0.1208537,-0.0545958,45.201,187.903,-66.085,0.2111619
1,3,144829,1,OK,0.1293061,0.9827234,-0.1206324,-0.0546126,44.986,187.949,-66.043,0.2027943
1,3,144832,1,OK,0.1294671,0.9826172,-0.1217059,-0.0537534,45.424,187.806,-66.123,0.2123687
1,3,144835,1,OK,0.1292417,0.9827008,-0.1211596,-0.0540010,45.220,187.915,-66.059,0.2062332
1,3,144838,1,OK,0.1293620,0.9826075,-0.1214024,-0.0548580,45.423,187.807,-66.182,0.1931134
1,3,144841,1,OK,0.1292838,0.9826736,-0.1213941,-0.0538687,45.420,187.857,-66.058,0.2132535
1,3,144844,1,OK,0.1292460,0.9827732,-0.1205857,-0.0539579,45.155,187.915,-66.050,0.2020056
1,3,144847,1,OK,0.1291459,0.9828349,-0.1199975,-0.0543834,45.092,187.972,-65.997,0.2103445
1,3,144850,1,OK,0.1292696,0.9827161,-0.1207183,-0.0546398,45.117,187.920,-66.054,0.2205614
1,3,144853,1,OK,0.1292578,0.9826527,-0.1211178,-0.0549236,45.305,187.831,-66.116,0.2055849
1,3,144856,1,OK,0.1293134,0.9826823,-0.1208784,-0.0547903,45.098,187.892,-66.117,0.1938317
1,3,144859,1,OK,0.1292726,0.9827378,-0.1206109,-0.0544804,44.994,187.947,-66.070,0.2055158
1,3,144862,1,OK,0.1292823,0.9827177,-0.1207015,-0.0546181,45.028,187.942,-66.064,0.2169665
1,3,144865,1,OK,0.1293148,0.9826313,-0.1215304,-0.0542558,45.370,187.860,-66.091,0.2055726
1,3,144868,1,OK,0.1292129,0.9827666,-0.1202883,-0.0548143,44.961,187.921,-66.101,0.2173418
1,3,144871,1,OK,0.1292625,0.9827487,-0.1207444,-0.0540096,45.265,187.865,-66.061,0.2270554
1,3,144874,1,OK,0.1292625,0.9827484,-0.1206589,-0.0542049,45.369,187.851,-66.100,0.2145702
1,3,144877,1,OK,0.1293445,0.9827234,-0.1207075,-0.0543552,45.035,187.934,-66.079,0.1924975
1,3,144880,1,OK,0.1294596,0.9825999,-0.1212006,-0.0552101,45.074,187.894,-66.139,0.1935941
1,3,144883,1,OK,0.1291130,0.9827640,-0.1206598,-0.0542765,45.224,187.925,-66.003,0.2094020
1,3,144886,1,OK,0.1293162,0.9826647,-0.1210869,-0.0546385,45.253,187.867,-66.095,0.2026964
1,3,144889,1,OK,0.1293374,0.9826729,-0.1206396,-0.0554245,45.113,187.894,-66.136,0.1989664
1,3,144892,1,OK,0.1292449,0.9827262,-0.1206608,-0.0546437,45.160,187.889,-66.078,0.2055315
1,3,144895,1,OK,0.1293407,0.9826789,-0.1211692,-0.0541400,45.122,187.879,-66.049,0.2079365
1,3,144898,1,OK,0.1292578,0.9827342,-0.1206364,-0.0545227,45.119,187.931,-66.046,0.2109369
1,3,144901,1,OK,0.1293350,0.9827465,-0.1203522,-0.0547462,44.927,187.935,-66.109,0.2152707
1,3,144904,1,OK,0.1293262,0.9826943,-0.1207801,-0.0547613,45.281,187.860,-66.105,0.2058560
1,3,144907,1,OK,0.1291934,0.9827738,-0.1203756,-0.0545378,45.121,187.924,-66.043,0.2367802
1,3,144910,1,OK,0.1292369,0.9827059,-0.1209792,-0.0543229,45.111,187.936,-66.045,0.2178252
1,3,144913,1,OK,0.1293886,0.9826739,-0.1208997,-0.0547169,45.089,187.876,-66.132,0.1957723
1,3,144916,1,OK,0.1292399,0.9827123,-0.1209197,-0.0543324,45.233,187.897,-66.055,0.2120093
1,3,144919,1,OK,0.1291183,0.9827710,-0.1205975,-0.0542764,45.097,187.955,-66.016,0.1941928
1,3,144922,1,OK,0.1292183,0.9827679,-0.1207142,-0.0538322,45.232,187.913,-66.079,0.2078217
1,3,144925,1,OK,0.1292677,0.9826646,-0.1210229,-0.0548973,45.156,187.908,-66.034,0.1899040
1,3,144928,1,OK,0.1292011,0.9827315,-0.1206028,-0.0547801,45.045,187.923,-66.065,0.1894648
1,3,144931,1,OK,0.1292019,0.9827694,-0.1203815,-0.0545842,44.875,187.988,-66.063,0.2076369
1,3,144934,1,OK,0.1293306,0.9826052,-0.1215599,-0.0546251,45.431,187.825,-66.111,0.2187055
1,3,144937,1,OK,0.1293434,0.9826706,-0.1209175,-0.0548419,45.120,187.872,-66.124,0.2078901
