Tools,Port 3: NDI 8700449  s/n:3532DC02,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error
1,3,118462,1,OK,0.0415093,0.9846009,-0.1647656,-0.0411132,56.781,224.528,-42.236,0.1865657
1,3,118465,1,OK,0.0416930,0.9844781,-0.1652744,-0.0418204,56.845,224.459,-42.301,0.2180484
1,3,118468,1,OK,0.0417241,0.9844714,-0.1652747,-0.0419451,56.793,224.479,-42.281,0.2146750
1,3,118471,1,OK,0.0415828,0.9845795,-0.1649798,-0.0406911,56.744,224.533,-42.202,0.1994056
1,3,118474,1,OK,0.0415489,0.9845380,-0.1651680,-0.0409643,56.957,224.463,-42.246,0.1789492
1,3,118477,1,OK,0.0418011,0.9843263,-0.1662997,-0.0412167,57.135,224.432,-42.286,0.2043628
1,3,118480,1,OK,0.0417384,0.9844294,-0.1655389,-0.0418753,57.038,224.429,-42.322,0.1861551
1,3,118483,1,OK,0.0416018,0.9844655,-0.1654156,-0.0416499,56.975,224.455,-42.261,0.2103557
1,3,118486,1,OK,0.0416367,0.9845200,-0.1652961,-0.0407923,56.983,224.476,-42.282,0.2086661
1,3,118489,1,OK,0.0416802,0.9845834,-0.1647119,-0.0415736,56.790,224.491,-42.305,0.1948415
1,3,118492,1,OK,0.0418127,0.9843762,-0.1660137,-0.0411670,57.131,224.376,-42.343,0.2030778
1,3,118495,1,OK,0.0416211,0.9845241,-0.1652549,-0.0408749,56.771,224.530,-42.197,0.1922742
1,3,118498,1,OK,0.0417729,0.9844457,-0.1653614,-0.0421582,56.752,224.473,-42.340,0.2099825
1,3,118501,1,OK,0.0416054,0.9846478,-0.1644473,-0.0411682,56.643,224.545,-42.225,0.1963926
1,3,118504,1,OK,0.0417184,0.9844584,-0.1654424,-0.0415937,56.789,224.496,-42.264,0.2138509
1,3,118507,1,OK,0.0415186,0.9844657,-0.1655121,-0.0413423,57.303,224.383,-42.259,0.2044097
1,3,118510,1,OK,0.0419084,0.9843154,-0.1660811,-0.0422377,57.009,224.411,-42.356,0.2078686
1,3,118513,1,OK,0.0417058,0.9845663,-0.1650279,-0.0406894,57.144,224.377,-42.318,0.2089509
1,3,118516,1,OK,0.0416479,0.9844728,-0.1655888,-0.0407324,57.029,224.457,-42.230,0.2031300
1,3,118519,1,OK,0.0417226,0.9843103,-0.1663623,-0.0414248,57.307,224.363,-42.291,0.2155689
1,3,118522,1,OK,0.0417654,0.9844535,-0.1653813,-0.0419041,57.099,224.411,-42.367,0.1989702
1,3,118525,1,OK,0.0416529,0.9845393,-0.1650437,-0.0413274,56.780,224.515,-42.273,0.2021193
1,3,118528,1,OK,0.0416623,0.9845154,-0.1651898,-0.0413042,56.909,224.461,-42.295,0.2216035
1,3,118531,1,OK,0.0417699,0.9844205,-0.1656605,-0.0415708,56.874,224.469,-42.308,0.2019807
1,3,118534,1,OK,0.0417291,0.9845196,-0.1650864,-0.0415485,56.651,224.539,-42.288,0.1982071
1,3,118537,1,OK,0.0417321,0.9843862,-0.1659309,-0.0413419,57.233,224.381,-42.331,0.2075974
1,3,118540,1,OK,0.0417513,0.9844674,-0.1654353,-0.0413751,56.856,224.471,-42.270,0.2193655
1,3,118543,1,OK,0.0417486,0.9845202,-0.1652281,-0.0409484,56.731,224.492,-42.264,0.2086877
1,3,118546,1,OK,0.0416377,0.9845209,-0.1651799,-0.0412381,57.017,224.443,-42.268,0.2070418
1,3,118549,1,OK,0.0417259,0.9845107,-0.1652651,-0.0410503,56.840,224.492,-42.249,0.2030697
1,3,118552,1,OK,0.0416205,0.9844159,-0.1658013,-0.0412673,57.353,224.329,-42.304,0.2155934
1,3,118555,1,OK,0.0414705,0.9847059,-0.1642870,-0.0405503,56.765,224.518,-42.237,0.2055406
1,3,118558,1,OK,0.0417604,0.9844957,-0.1651793,-0.0417144,56.845,224.465,-42.332,0.2058403
1,3,118561,1,OK,0.0416924,0.9844203,-0.1654875,-0.0423362,56.851,224.464,-42.318,0.2165109
1,3,118564,1,OK,0.0415509,0.9844768,-0.1652906,-0.0419285,56.963,224.480,-42.253,0.2082967
1,3,118567,1,OK,0.0417881,0.9844319,-0.1658188,-0.0406424,57.062,224.415,-42.326,0.2199825
1,3,118570,1,OK,0.0415129,0.9845298,-0.1652938,-0.0406897,56.841,224.524,-42.152,0.1996037
1,3,118573,1,OK,0.0416375,0.9845506,-0.1651131,-0.0407925,56.898,224.459,-42.260,0.1986116
1,3,118576,1,OK,0.0415481,0.9846682,-0.1645598,-0.0402789,56.762,224.550,-42.135,0.2250186
1,3,118579,1,OK,0.0417107,0.9845622,-0.1648464,-0.0415106,56.830,224.484,-42.324,0.2112960
1,3,118582,1,OK,0.0415365,0.9846349,-0.1645953,-0.0409545,56.880,224.487,-42.218,0.2064420
1,3,118585,1,OK,0.0417582,0.9844381,-0.1656540,-0.0411894,57.059,224.430,-42.310,0.2174349
