Tools,Port 3: NDI 8700449  s/n:3532DC02,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error
1,3,91921,1,OK,0.2487363,0.9565325,-0.0817665,-0.1284137,6.118,133.489,-63.047,0.2055372
1,3,91924,1,OK,0.2488826,0.9565297,-0.0821467,-0.1279077,6.042,133.505,-63.034,0.1995423
1,3,91927,1,OK,0.2487572,0.9566389,-0.0816094,-0.1276786,6.021,133.504,-63.010,0.1906787
1,3,91930,1,OK,0.2488259,0.9564539,-0.0825194,-0.1283437,6.316,133.469,-63.058,0.2000609
1,3,91933,1,OK,0.2487702,0.9565107,-0.0822640,-0.1281927,6.148,133.500,-63.034,0.1943004
1,3,91936,1,OK,0.2486116,0.9566728,-0.0808682,-0.1281785,5.991,133.523,-63.010,0.2440642
1,3,91939,1,OK,0.2487598,0.9566600,-0.0815375,-0.1275609,6.019,133.508,-63.015,0.1889070
1,3,91942,1,OK,0.2487326,0.9565177,-0.0819727,-0.1283995,6.263,133.472,-63.070,0.2099258
1,3,91945,1,OK,0.2488016,0.9564767,-0.0825442,-0.1282048,6.231,133.479,-63.050,0.2037349
1,3,91948,1,OK,0.2488243,0.9563287,-0.0821845,-0.1294897,6.255,133.456,-63.114,0.2135828
1,3,91951,1,OK,0.2487749,0.9565193,-0.0822962,-0.1280987,6.195,133.473,-63.060,0.2189426
1,3,91954,1,OK,0.2488839,0.9564520,-0.0824556,-0.1282864,6.192,133.461,-63.087,0.1984857
1,3,91957,1,OK,0.2487767,0.9565460,-0.0820382,-0.1280614,6.214,133.484,-63.036,0.2175322
1,3,91960,1,OK,0.2488147,0.9564956,-0.0827833,-0.1278843,6.464,133.447,-63.105,0.2089644
1,3,91963,1,OK,0.2488407,0.9564419,-0.0821938,-0.1286135,6.146,133.485,-63.056,0.1873077
1,3,91966,1,OK,0.2488236,0.9564317,-0.0822702,-0.1286733,6.221,133.472,-63.081,0.2047933
1,3,91969,1,OK,0.2488165,0.9565444,-0.0813960,-0.1284052,6.007,133.514,-63.045,0.2078450
1,3,91972,1,OK,0.2487892,0.9564079,-0.0821627,-0.1289850,6.243,133.471,-63.086,0.2029358
1,3,91975,1,OK,0.2490674,0.9562632,-0.0825601,-0.1292669,5.965,133.484,-63.075,0.1996948
1,3,91978,1,OK,0.2488667,0.9564596,-0.0828262,-0.1280243,6.433,133.451,-63.088,0.2007647
1,3,91981,1,OK,0.2489446,0.9564990,-0.0827699,-0.1276145,6.200,133.487,-63.054,0.2079943
1,3,91984,1,OK,0.2488442,0.9564634,-0.0820556,-0.1285346,6.162,133.497,-63.062,0.2096015
1,3,91987,1,OK,0.2488623,0.9563953,-0.0822217,-0.1288997,6.154,133.470,-63.076,0.2138035
1,3,91990,1,OK,0.2489090,0.9564352,-0.0819043,-0.1287158,5.977,133.487,-63.049,0.2099674
1,3,91993,1,OK,0.2487720,0.9564109,-0.0824671,-0.1288015,6.289,133.479,-63.069,0.2119272
1,3,91996,1,OK,0.2487455,0.9565627,-0.0821300,-0.1279382,6.276,133.461,-63.060,0.1992282
1,3,91999,1,OK,0.2488018,0.9564684,-0.0831435,-0.1278789,6.468,133.456,-63.083,0.2218829
1,3,92002,1,OK,0.2488950,0.9564189,-0.0830350,-0.1281380,6.433,133.452,-63.102,0.2146521
1,3,92005,1,OK,0.2488319,0.9565235,-0.0820364,-0.1281234,6.072,133.480,-63.038,0.2069133
1,3,92008,1,OK,0.2488188,0.9564544,-0.0817997,-0.1288138,6.129,133.474,-63.064,0.2049815
1,3,92011,1,OK,0.2487433,0.9564865,-0.0825322,-0.1282531,6.262,133.487,-63.027,0.2210538
1,3,92014,1,OK,0.2487500,0.9565139,-0.0817540,-0.1285333,6.055,133.490,-63.047,0.1728506
1,3,92017,1,OK,0.2488476,0.9564348,-0.0820727,-0.1287301,6.029,133.509,-63.042,0.1949769
1,3,92020,1,OK,0.2488962,0.9565439,-0.0823012,-0.1276753,6.066,133.505,-63.039,0.1890233
1,3,92023,1,OK,0.2487963,0.9565361,-0.0818229,-0.1282347,6.239,133.471,-63.074,0.1965017
1,3,92026,1,OK,0.2488264,0.9563790,-0.0826207,-0.1288352,6.382,133.448,-63.109,0.2253053
1,3,92029,1,OK,0.2487265,0.9566064,-0.0817996,-0.1278600,6.217,133.498,-63.060,0.2105440
1,3,92032,1,OK,0.2488747,0.9565436,-0.0818313,-0.1280207,6.041,133.497,-63.055,0.2028017
1,3,92035,1,OK,0.2487229,0.9566617,-0.0815375,-0.1276208,6.151,133.506,-63.041,0.1804840
1,3,92038,1,OK,0.2489307,0.9564479,-0.0822600,-0.1283521,6.115,133.469,-63.080,0.2179510
