Tools,Port 3: NDI 8700449  s/n:3532DC02,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error
1,3,120487,1,OK,0.0278004,0.9883182,-0.1433725,-0.0435734,53.630,230.180,-83.852,0.1900106
1,3,120490,1,OK,0.0277907,0.9882305,-0.1440400,-0.0433660,54.048,230.080,-83.819,0.2050052
1,3,120493,1,OK,0.0279526,0.9881458,-0.1446754,-0.0430770,54.092,230.067,-83.860,0.1984337
1,3,120496,1,OK,0.0279530,0.9881374,-0.1444172,-0.0441225,53.847,230.114,-83.881,0.2078847
1,3,120499,1,OK,0.0278351,0.9882609,-0.1439291,-0.0430118,53.751,230.155,-83.820,0.2006216
1,3,120502,1,OK,0.0278858,0.9882317,-0.1440227,-0.0433348,53.793,230.109,-83.866,0.2153253
1,3,120505,1,OK,0.0279324,0.9882802,-0.1437547,-0.0430879,53.776,230.127,-83.862,0.1968056
1,3,120508,1,OK,0.0278436,0.9882415,-0.1440550,-0.0430305,54.002,230.108,-83.846,0.2138992
1,3,120511,1,OK,0.0278709,0.9881188,-0.1445950,-0.0440094,54.067,230.049,-83.887,0.2145210
1,3,120514,1,OK,0.0276553,0.9883443,-0.1432088,-0.0436119,53.663,230.209,-83.768,0.2001050
1,3,120517,1,OK,0.0279307,0.9881011,-0.1446931,-0.0440453,54.034,230.076,-83.904,0.1802602
1,3,120520,1,OK,0.0277835,0.9882519,-0.1438940,-0.0433685,53.985,230.086,-83.877,0.2007038
1,3,120523,1,OK,0.0277816,0.9883136,-0.1434856,-0.0433160,53.820,230.164,-83.798,0.1921551
1,3,120526,1,OK,0.0278856,0.9882157,-0.1443200,-0.0427057,54.205,230.045,-83.847,0.2079897
1,3,120529,1,OK,0.0278544,0.9882460,-0.1440131,-0.0430604,53.876,230.145,-83.801,0.1916627
1,3,120532,1,OK,0.0278093,0.9882390,-0.1440453,-0.0431420,53.952,230.118,-83.845,0.2114455
1,3,120535,1,OK,0.0278375,0.9882168,-0.1441680,-0.0432227,54.024,230.089,-83.813,0.2081363
1,3,120538,1,OK,0.0277543,0.9882837,-0.1438708,-0.0427345,53.948,230.130,-83.788,0.2251762
1,3,120541,1,OK,0.0279298,0.9881427,-0.1446314,-0.0433095,54.046,230.090,-83.888,0.2220495
1,3,120544,1,OK,0.0280723,0.9881058,-0.1446375,-0.0440329,53.965,230.052,-83.940,0.2099034
1,3,120547,1,OK,0.0277484,0.9882955,-0.1435835,-0.0434256,53.806,230.169,-83.804,0.2268588
1,3,120550,1,OK,0.0278235,0.9882371,-0.1438598,-0.0437898,53.843,230.144,-83.839,0.2123199
1,3,120553,1,OK,0.0278383,0.9882930,-0.1436785,-0.0431093,53.734,230.139,-83.828,0.2040007
1,3,120556,1,OK,0.0278482,0.9882262,-0.1437945,-0.0442330,53.646,230.194,-83.837,0.1985089
1,3,120559,1,OK,0.0277609,0.9883010,-0.1435025,-0.0435600,53.606,230.190,-83.832,0.1981537
1,3,120562,1,OK,0.0276681,0.9882582,-0.1438793,-0.0433458,54.125,230.110,-83.804,0.2296470
1,3,120565,1,OK,0.0280462,0.9880749,-0.1450508,-0.0433787,54.096,230.034,-83.911,0.2068514
1,3,120568,1,OK,0.0277207,0.9882248,-0.1440088,-0.0436437,54.093,230.084,-83.838,0.2066946
1,3,120571,1,OK,0.0277646,0.9883035,-0.1435598,-0.0433128,53.810,230.148,-83.839,0.2063407
1,3,120574,1,OK,0.0278536,0.9882113,-0.1440214,-0.0438235,53.697,230.174,-83.820,0.1959282
1,3,120577,1,OK,0.0278144,0.9881825,-0.1441509,-0.0440712,53.927,230.110,-83.867,0.2011871
1,3,120580,1,OK,0.0277427,0.9882266,-0.1438077,-0.0442478,53.674,230.175,-83.802,0.1897718
1,3,120583,1,OK,0.0277913,0.9882645,-0.1436611,-0.0438454,53.818,230.113,-83.886,0.1784635
1,3,120586,1,OK,0.0278290,0.9881780,-0.1443489,-0.0435119,54.087,230.100,-83.845,0.2186733
1,3,120589,1,OK,0.0278415,0.9881076,-0.1448669,-0.0433804,54.117,230.112,-83.773,0.2034897
1,3,120592,1,OK,0.0279206,0.9881960,-0.1442912,-0.0432327,53.910,230.110,-83.832,0.2115126
1,3,120595,1,OK,0.0279721,0.9881757,-0.1442428,-0.0438212,53.839,230.107,-83.906,0.2003316
1,3,120598,1,OK,0.0277234,0.9882708,-0.1436880,-0.0436583,53.753,230.200,-83.796,0.1897870
1,3,120601,1,OK,0.0278803,0.9881897,-0.1441940,-0.0437252,53.997,230.048,-83.906,0.2414035
1,3,120604,1,OK,0.0279418,0.9881504,-0.1443659,-0.0440070,53.925,230.076,-83.926,0.2004104
1,3,120607,1,OK,0.0279192,0.9881967,-0.1441876,-0.0435633,53.987,230.069,-83.893,0.1950528
1,3,120610,1,OK,0.0278157,0.9882514,-0.1441255,-0.0425822,54.140,230.075,-83.816,0.2206119
