Tools,Port 3: NDI 8700449  s/n:3532DC02,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error
1,3,53110,1,OK,0.0830549,0.9940726,-0.0313605,-0.0627545,43.214,210.777,-105.341,0.1889434
1,3,53113,1,OK,0.0829322,0.9940866,-0.0306089,-0.0630641,42.800,210.902,-105.274,0.1971798
1,3,53116,1,OK,0.0831544,0.9940489,-0.0308257,-0.0632610,42.939,210.807,-105.396,0.1949881
1,3,53119,1,OK,0.0829443,0.9941101,-0.0311936,-0.0623877,43.114,210.869,-105.237,0.1825256
1,3,53122,1,OK,0.0830638,0.9940225,-0.0315625,-0.0634311,43.399,210.699,-105.402,0.2244132
1,3,53125,1,OK,0.0830134,0.9940684,-0.0306710,-0.0632140,43.060,210.785,-105.390,0.2258756
1,3,53128,1,OK,0.0829563,0.9941346,-0.0301412,-0.0624992,43.182,210.769,-105.371,0.1830752
1,3,53131,1,OK,0.0829954,0.9941262,-0.0308678,-0.0622251,43.088,210.824,-105.295,0.1847171
1,3,53134,1,OK,0.0831748,0.9940266,-0.0318666,-0.0630683,43.372,210.745,-105.348,0.1860731
1,3,53137,1,OK,0.0829985,0.9941005,-0.0309588,-0.0625865,43.085,210.825,-105.305,0.1970358
1,3,53140,1,OK,0.0831306,0.9940937,-0.0313878,-0.0623046,43.353,210.754,-105.350,0.2086339
1,3,53143,1,OK,0.0831490,0.9941207,-0.0313721,-0.0618555,43.313,210.776,-105.320,0.2023919
1,3,53146,1,OK,0.0831018,0.9940402,-0.0317327,-0.0630177,43.333,210.723,-105.390,0.2118165
1,3,53149,1,OK,0.0830122,0.9941379,-0.0307576,-0.0620715,43.200,210.825,-105.264,0.2080043
1,3,53152,1,OK,0.0830156,0.9941207,-0.0314033,-0.0620186,43.337,210.776,-105.286,0.2052279
1,3,53155,1,OK,0.0830140,0.9940591,-0.0317396,-0.0628314,43.686,210.655,-105.386,0.2215906
1,3,53158,1,OK,0.0830556,0.9940840,-0.0308321,-0.0628335,43.061,210.809,-105.326,0.1880116
1,3,53161,1,OK,0.0828694,0.9941353,-0.0304726,-0.0624423,43.050,210.855,-105.273,0.2160278
1,3,53164,1,OK,0.0831710,0.9941084,-0.0313846,-0.0620161,43.384,210.717,-105.386,0.2134604
1,3,53167,1,OK,0.0829956,0.9940366,-0.0314383,-0.0633605,43.217,210.773,-105.356,0.2113577
1,3,53170,1,OK,0.0829095,0.9941643,-0.0302916,-0.0620141,43.333,210.776,-105.300,0.1884612
1,3,53173,1,OK,0.0830642,0.9940868,-0.0309619,-0.0627154,43.149,210.751,-105.417,0.1994872
1,3,53176,1,OK,0.0830133,0.9940892,-0.0309015,-0.0627738,43.339,210.761,-105.358,0.2030743
1,3,53179,1,OK,0.0829798,0.9941163,-0.0307976,-0.0624397,43.152,210.818,-105.299,0.1979275
1,3,53182,1,OK,0.0828724,0.9941273,-0.0305060,-0.0625497,43.213,210.787,-105.324,0.2139057
1,3,53185,1,OK,0.0828874,0.9941205,-0.0298467,-0.0629541,42.873,210.862,-105.327,0.2070916
1,3,53188,1,OK,0.0830861,0.9940960,-0.0315686,-0.0622352,43.287,210.763,-105.316,0.1979673
1,3,53191,1,OK,0.0830463,0.9941098,-0.0308966,-0.0624057,43.121,210.816,-105.328,0.1869128
1,3,53194,1,OK,0.0830599,0.9940525,-0.0317627,-0.0628639,43.560,210.702,-105.349,0.1940353
1,3,53197,1,OK,0.0830443,0.9941393,-0.0313661,-0.0616999,43.516,210.750,-105.308,0.1956778
1,3,53200,1,OK,0.0830522,0.9941143,-0.0309123,-0.0623181,43.340,210.739,-105.343,0.1783730
1,3,53203,1,OK,0.0830265,0.9941041,-0.0307709,-0.0625840,43.026,210.890,-105.255,0.2160837
1,3,53206,1,OK,0.0828934,0.9941243,-0.0310963,-0.0622774,43.334,210.785,-105.291,0.1873172
1,3,53209,1,OK,0.0830849,0.9940670,-0.0314255,-0.0627700,43.204,210.750,-105.405,0.2025731
1,3,53212,1,OK,0.0831385,0.9940810,-0.0313672,-0.0625063,43.116,210.770,-105.375,0.2004251
1,3,53215,1,OK,0.0830637,0.9941275,-0.0310485,-0.0620244,43.270,210.792,-105.307,0.1900723
1,3,53218,1,OK,0.0831496,0.9941187,-0.0312342,-0.0619558,43.218,210.827,-105.277,0.2164705
1,3,53221,1,OK,0.0830819,0.9941162,-0.0308732,-0.0622681,42.818,210.885,-105.283,0.1922765
1,3,53224,1,OK,0.0829626,0.9941423,-0.0306164,-0.0621357,43.096,210.817,-105.283,0.1894877
1,3,53227,1,OK,0.0830278,0.9941029,-0.0308980,-0.0625394,43.185,210.783,-105.346,0.1991194
