Tools,Port 3: NDI 8700449  s/n:3532DC02,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error
1,3,86242,1,OK,0.0081206,0.9498665,-0.3085450,-0.0498773,48.604,225.999,-53.377,0.1911560
1,3,86245,1,OK,0.0078832,0.9497649,-0.3090406,-0.0487688,48.881,225.994,-53.322,0.2029408
1,3,86248,1,OK,0.0079496,0.9497999,-0.3088523,-0.0492669,48.902,225.981,-53.349,0.2169772
1,3,86251,1,OK,0.0079665,0.9496993,-0.3092633,-0.0486210,49.157,225.891,-53.408,0.1938785
1,3,86254,1,OK,0.0078946,0.9498586,-0.3087985,-0.0484748,48.949,225.980,-53.355,0.2196475
1,3,86257,1,OK,0.0078468,0.9497567,-0.3090126,-0.0491095,49.203,225.898,-53.377,0.2066288
1,3,86260,1,OK,0.0081283,0.9495842,-0.3095737,-0.0488664,49.252,225.863,-53.460,0.1893872
1,3,86263,1,OK,0.0079056,0.9497580,-0.3090376,-0.0489178,48.912,225.966,-53.350,0.2079188
1,3,86266,1,OK,0.0078686,0.9499014,-0.3086280,-0.0487261,49.138,225.923,-53.367,0.2218598
1,3,86269,1,OK,0.0081009,0.9496294,-0.3094104,-0.0490258,49.059,225.908,-53.407,0.2005717
1,3,86272,1,OK,0.0077537,0.9498298,-0.3088735,-0.0485831,49.106,225.951,-53.314,0.2065893
1,3,86275,1,OK,0.0079774,0.9495802,-0.3095771,-0.0489473,49.199,225.887,-53.398,0.1993277
1,3,86278,1,OK,0.0081176,0.9497560,-0.3090320,-0.0489584,48.926,225.959,-53.413,0.1959139
1,3,86281,1,OK,0.0079119,0.9497225,-0.3092161,-0.0484763,49.199,225.900,-53.371,0.2015213
1,3,86284,1,OK,0.0079767,0.9498387,-0.3087500,-0.0491555,48.795,225.978,-53.332,0.1876128
1,3,86287,1,OK,0.0080558,0.9496382,-0.3093608,-0.0491752,49.075,225.939,-53.406,0.2265609
1,3,86290,1,OK,0.0079125,0.9496933,-0.3093954,-0.0479021,49.126,225.926,-53.349,0.2039175
1,3,86293,1,OK,0.0077705,0.9498932,-0.3087336,-0.0482293,49.017,225.954,-53.301,0.1903261
1,3,86296,1,OK,0.0079288,0.9498776,-0.3087193,-0.0486008,48.957,225.951,-53.362,0.1835453
1,3,86299,1,OK,0.0080365,0.9496071,-0.3094956,-0.0489308,49.161,225.900,-53.415,0.2082728
1,3,86302,1,OK,0.0079266,0.9497094,-0.3092390,-0.0485838,49.210,225.894,-53.361,0.2111960
1,3,86305,1,OK,0.0078842,0.9498927,-0.3087310,-0.0482374,48.960,225.983,-53.340,0.1928270
1,3,86308,1,OK,0.0078459,0.9499312,-0.3085212,-0.0488238,48.921,225.972,-53.345,0.2134446
1,3,86311,1,OK,0.0079734,0.9495694,-0.3096301,-0.0488220,49.194,225.901,-53.363,0.2020083
1,3,86314,1,OK,0.0078456,0.9496163,-0.3096536,-0.0477708,49.347,225.882,-53.344,0.2287802
1,3,86317,1,OK,0.0078123,0.9497904,-0.3089768,-0.0486869,49.170,225.897,-53.353,0.1997043
1,3,86320,1,OK,0.0078902,0.9499481,-0.3085213,-0.0484865,48.797,225.999,-53.338,0.2301418
1,3,86323,1,OK,0.0082139,0.9495325,-0.3096558,-0.0493342,49.125,225.892,-53.451,0.1913930
1,3,86326,1,OK,0.0078535,0.9498703,-0.3085978,-0.0495191,48.939,225.978,-53.343,0.2196443
1,3,86329,1,OK,0.0079815,0.9495825,-0.3095763,-0.0489081,49.368,225.862,-53.412,0.1882686
1,3,86332,1,OK,0.0077705,0.9498158,-0.3090122,-0.0479701,49.157,225.943,-53.322,0.2073359
1,3,86335,1,OK,0.0079363,0.9497369,-0.3091495,-0.0486156,49.177,225.900,-53.375,0.2101605
1,3,86338,1,OK,0.0079739,0.9498326,-0.3088595,-0.0485826,48.999,225.926,-53.413,0.2131671
1,3,86341,1,OK,0.0081129,0.9497368,-0.3090988,-0.0489086,48.993,225.920,-53.427,0.1979456
1,3,86344,1,OK,0.0078919,0.9496941,-0.3093287,-0.0483172,49.181,225.911,-53.328,0.2053225
1,3,86347,1,OK,0.0079038,0.9498930,-0.3087485,-0.0481167,48.921,225.991,-53.320,0.2145329
1,3,86350,1,OK,0.0080812,0.9498502,-0.3087536,-0.0488935,48.824,226.011,-53.359,0.2137626
1,3,86353,1,OK,0.0080337,0.9498652,-0.3086325,-0.0493708,48.949,225.926,-53.420,0.1984969
1,3,86356,1,OK,0.0081131,0.9497238,-0.3091253,-0.0489950,48.753,225.998,-53.346,0.1959668
1,3,86359,1,OK,0.0077246,0.9499151,-0.3086322,-0.0484537,48.958,225.983,-53.313,0.1959289
1,3,86362,1,OK,0.0078649,0.9497964,-0.3089052,-0.0490160,49.042,225.951,-53.348,0.2039911
