Tools,Port 3: NDI 8700449  s/n:3532DC02,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error
1,3,69379,1,OK,-0.0895807,0.9326122,-0.2262513,-0.2664960,-59.981,314.779,-107.364,0.1932551
1,3,69382,1,OK,-0.0896210,0.9326558,-0.2259716,-0.2665672,-60.069,314.740,-107.416,0.2140876
1,3,69385,1,OK,-0.0898367,0.9328446,-0.2256821,-0.2660786,-59.733,314.759,-107.506,0.2074344
1,3,69388,1,OK,-0.0897287,0.9328028,-0.2257623,-0.2661938,-59.974,314.773,-107.408,0.2139892
1,3,69391,1,OK,-0.0898350,0.9328294,-0.2259896,-0.2658715,-59.672,314.769,-107.513,0.1983649
1,3,69394,1,OK,-0.0896949,0.9329259,-0.2257330,-0.2657982,-59.975,314.730,-107.477,0.2062521
1,3,69397,1,OK,-0.0896271,0.9328256,-0.2257144,-0.2661886,-60.109,314.761,-107.381,0.1951665
1,3,69400,1,OK,-0.0897476,0.9326729,-0.2258087,-0.2666028,-60.058,314.762,-107.346,0.1998334
1,3,69403,1,OK,-0.0897536,0.9328835,-0.2250255,-0.2665263,-60.385,314.698,-107.389,0.1983000
1,3,69406,1,OK,-0.0896847,0.9328531,-0.2253372,-0.2663924,-60.101,314.737,-107.405,0.1999962
1,3,69409,1,OK,-0.0896902,0.9325878,-0.2258761,-0.2668625,-60.041,314.745,-107.439,0.1974512
1,3,69412,1,OK,-0.0896515,0.9327898,-0.2259201,-0.2661316,-59.725,314.782,-107.490,0.2040425
1,3,69415,1,OK,-0.0896774,0.9327284,-0.2258016,-0.2664383,-59.991,314.756,-107.418,0.1968006
1,3,69418,1,OK,-0.0896469,0.9326072,-0.2261013,-0.2666186,-59.786,314.803,-107.396,0.2020520
1,3,69421,1,OK,-0.0897029,0.9327982,-0.2261935,-0.2658522,-59.947,314.750,-107.447,0.2044508
1,3,69424,1,OK,-0.0895809,0.9328091,-0.2265992,-0.2655093,-59.730,314.739,-107.573,0.2086785
1,3,69427,1,OK,-0.0898502,0.9330223,-0.2257975,-0.2653522,-59.551,314.760,-107.582,0.1847383
1,3,69430,1,OK,-0.0896469,0.9325578,-0.2264303,-0.2665120,-59.833,314.754,-107.430,0.1872999
1,3,69433,1,OK,-0.0897254,0.9330458,-0.2257145,-0.2653823,-59.961,314.742,-107.476,0.2247622
1,3,69436,1,OK,-0.0897992,0.9332225,-0.2247203,-0.2655799,-60.238,314.748,-107.337,0.2096784
1,3,69439,1,OK,-0.0894987,0.9326275,-0.2259748,-0.2667046,-60.254,314.754,-107.301,0.1800214
1,3,69442,1,OK,-0.0897482,0.9329903,-0.2253001,-0.2659214,-60.008,314.714,-107.505,0.1992556
1,3,69445,1,OK,-0.0897839,0.9327805,-0.2259427,-0.2661001,-59.911,314.760,-107.442,0.2229185
1,3,69448,1,OK,-0.0895218,0.9327359,-0.2259277,-0.2663575,-60.242,314.727,-107.394,0.1972855
1,3,69451,1,OK,-0.0897710,0.9329140,-0.2260214,-0.2655691,-59.829,314.762,-107.451,0.2131331
1,3,69454,1,OK,-0.0897694,0.9328714,-0.2259666,-0.2657660,-59.929,314.766,-107.420,0.2100988
1,3,69457,1,OK,-0.0896237,0.9324035,-0.2260150,-0.2674108,-60.140,314.753,-107.322,0.2053133
1,3,69460,1,OK,-0.0896035,0.9326549,-0.2262718,-0.2663213,-59.885,314.753,-107.465,0.1953211
1,3,69463,1,OK,-0.0900756,0.9329573,-0.2255489,-0.2657156,-59.425,314.823,-107.540,0.2199890
1,3,69466,1,OK,-0.0898211,0.9329388,-0.2259944,-0.2654879,-59.611,314.769,-107.536,0.1905281
1,3,69469,1,OK,-0.0896870,0.9327342,-0.2257051,-0.2664964,-59.945,314.763,-107.427,0.1988807
1,3,69472,1,OK,-0.0895070,0.9327639,-0.2261436,-0.2660808,-59.950,314.768,-107.434,0.1931951
1,3,69475,1,OK,-0.0899535,0.9330835,-0.2245593,-0.2661514,-59.883,314.764,-107.465,0.2239935
1,3,69478,1,OK,-0.0897012,0.9329402,-0.2261245,-0.2654130,-59.787,314.762,-107.486,0.2109291
1,3,69481,1,OK,-0.0899014,0.9326707,-0.2260035,-0.2663936,-59.577,314.761,-107.564,0.2070560
1,3,69484,1,OK,-0.0897002,0.9328195,-0.2256824,-0.2662127,-59.871,314.744,-107.514,0.1945214
1,3,69487,1,OK,-0.0897584,0.9331289,-0.2254794,-0.2652791,-60.140,314.686,-107.482,0.2111520
1,3,69490,1,OK,-0.0895402,0.9327924,-0.2252886,-0.2666946,-60.519,314.700,-107.328,0.1988170
1,3,69493,1,OK,-0.0897146,0.9327265,-0.2253673,-0.2667999,-60.210,314.709,-107.442,0.1802508
1,3,69496,1,OK,-0.0898629,0.9328104,-0.2255347,-0.2663148,-59.954,314.788,-107.387,0.2009825
