Tools,Port 3: NDI 8700449  s/n:3532DC02,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error
1,3,88705,1,OK,0.0897292,0.9611572,-0.2594042,-0.0288972,49.297,193.075,-62.952,0.1821369
1,3,88708,1,OK,0.0898154,0.9610145,-0.2599370,-0.0285847,49.516,193.035,-62.989,0.2271802
1,3,88711,1,OK,0.0897366,0.9609649,-0.2601613,-0.0284600,49.695,192.980,-62.935,0.1975722
1,3,88714,1,OK,0.0897911,0.9611827,-0.2593858,-0.0280081,49.423,193.044,-62.971,0.1862347
1,3,88717,1,OK,0.0899849,0.9610814,-0.2595187,-0.0295848,49.157,193.088,-63.046,0.2022872
1,3,88720,1,OK,0.0898848,0.9611078,-0.2595743,-0.0285271,49.281,193.100,-62.961,0.1857303
1,3,88723,1,OK,0.0894702,0.9612910,-0.2590578,-0.0283523,49.439,193.103,-62.869,0.2163161
1,3,88726,1,OK,0.0895724,0.9613668,-0.2587662,-0.0281212,49.329,193.093,-62.918,0.2100590
1,3,88729,1,OK,0.0899128,0.9608262,-0.2605605,-0.0289310,49.543,193.021,-63.009,0.2041464
1,3,88732,1,OK,0.0898334,0.9610236,-0.2599337,-0.0282523,49.554,193.005,-63.009,0.2022245
1,3,88735,1,OK,0.0898765,0.9611878,-0.2592951,-0.0283964,49.142,193.127,-62.970,0.1956322
1,3,88738,1,OK,0.0899742,0.9610528,-0.2597057,-0.0289000,49.148,193.109,-63.034,0.2359705
1,3,88741,1,OK,0.0895737,0.9611527,-0.2595736,-0.0279915,49.465,193.093,-62.866,0.2125468
1,3,88744,1,OK,0.0899999,0.9608820,-0.2602903,-0.0292353,49.482,193.011,-63.037,0.1999805
1,3,88747,1,OK,0.0896221,0.9610309,-0.2599637,-0.0283951,49.590,193.054,-62.907,0.1999837
1,3,88750,1,OK,0.0896390,0.9610981,-0.2597406,-0.0281088,49.496,193.033,-62.924,0.1907939
1,3,88753,1,OK,0.0897454,0.9612407,-0.2591114,-0.0286945,49.408,193.058,-62.999,0.1904659
1,3,88756,1,OK,0.0896642,0.9612264,-0.2591865,-0.0287479,49.187,193.143,-62.896,0.1970867
1,3,88759,1,OK,0.0896541,0.9610496,-0.2599115,-0.0281378,49.631,192.996,-62.925,0.2131239
1,3,88762,1,OK,0.0895952,0.9612216,-0.2592191,-0.0288289,49.334,193.103,-62.899,0.2318561
1,3,88765,1,OK,0.0897074,0.9612366,-0.2591604,-0.0285080,49.147,193.147,-62.907,0.2182368
1,3,88768,1,OK,0.0898075,0.9609144,-0.2603439,-0.0282694,49.661,192.982,-62.982,0.2016161
1,3,88771,1,OK,0.0897897,0.9611641,-0.2593820,-0.0286774,49.309,193.080,-62.952,0.2097684
1,3,88774,1,OK,0.0897656,0.9612950,-0.2588826,-0.0288774,49.144,193.131,-62.967,0.1869324
1,3,88777,1,OK,0.0898569,0.9609929,-0.2599933,-0.0286682,49.461,193.038,-62.953,0.1966491
1,3,88780,1,OK,0.0897865,0.9609840,-0.2600971,-0.0282440,49.529,193.049,-62.942,0.1921939
1,3,88783,1,OK,0.0896676,0.9611857,-0.2593819,-0.0283346,49.177,193.128,-62.889,0.2056611
1,3,88786,1,OK,0.0895935,0.9611724,-0.2594992,-0.0279442,49.408,193.106,-62.886,0.2066231
1,3,88789,1,OK,0.0895896,0.9611776,-0.2594125,-0.0285749,49.401,193.093,-62.877,0.2047105
1,3,88792,1,OK,0.0897440,0.9610744,-0.2596653,-0.0292559,49.295,193.081,-62.949,0.1864666
1,3,88795,1,OK,0.0897627,0.9611166,-0.2596297,-0.0281057,49.358,193.087,-62.942,0.2137272
1,3,88798,1,OK,0.0897972,0.9610113,-0.2599418,-0.0287069,49.691,192.983,-62.991,0.2159281
1,3,88801,1,OK,0.0898946,0.9610573,-0.2596974,-0.0290713,49.169,193.108,-62.977,0.2075586
1,3,88804,1,OK,0.0897261,0.9610398,-0.2598964,-0.0283822,49.567,193.036,-62.937,0.2188969
1,3,88807,1,OK,0.0897464,0.9611660,-0.2593371,-0.0291493,49.184,193.138,-62.950,0.2061151
1,3,88810,1,OK,0.0898922,0.9609701,-0.2600259,-0.0290239,49.418,193.041,-63.001,0.1973383
1,3,88813,1,OK,0.0898301,0.9611009,-0.2596617,-0.0281305,49.305,193.103,-62.939,0.2163916
1,3,88816,1,OK,0.0897146,0.9611338,-0.2595989,-0.0279566,49.350,193.107,-62.907,0.2101627
1,3,88819,1,OK,0.0895801,0.9611657,-0.2595982,-0.0272890,49.525,193.090,-62.833,0.1981604
1,3,88822,1,OK,0.0897648,0.9611361,-0.2594951,-0.0286692,49.420,193.074,-62.959,0.2020958
1,3,88825,1,OK,0.0898248,0.9609636,-0.2600997,-0.0287870,49.364,193.068,-62.955,0.2132869
