Tools,Port 3: NDI 8700449  s/n:3532DC02,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error
1,3,122773,1,OK,0.0319028,0.9918695,-0.1147914,-0.0447217,51.897,230.048,-101.686,0.2197534
1,3,122776,1,OK,0.0321025,0.9917151,-0.1161413,-0.0445178,52.358,229.919,-101.766,0.2145156
1,3,122779,1,OK,0.0320699,0.9917463,-0.1161499,-0.0438182,52.533,229.885,-101.728,0.2072542
1,3,122782,1,OK,0.0320171,0.9918112,-0.1152358,-0.0447895,52.111,229.971,-101.735,0.2107700
1,3,122785,1,OK,0.0321102,0.9917912,-0.1157730,-0.0437701,52.323,229.946,-101.732,0.2366570
1,3,122788,1,OK,0.0319814,0.9917824,-0.1155556,-0.0446292,52.218,229.965,-101.707,0.2108203
1,3,122791,1,OK,0.0318941,0.9918333,-0.1152017,-0.0444757,52.163,230.016,-101.679,0.1873768
1,3,122794,1,OK,0.0321065,0.9917233,-0.1162260,-0.0441078,52.477,229.879,-101.765,0.2141476
1,3,122797,1,OK,0.0319863,0.9917838,-0.1154737,-0.0448061,52.050,230.011,-101.684,0.1963803
1,3,122800,1,OK,0.0319643,0.9918828,-0.1147231,-0.0445570,51.818,230.022,-101.763,0.2005949
1,3,122803,1,OK,0.0320997,0.9917531,-0.1157048,-0.0448076,52.218,229.929,-101.788,0.2095550
1,3,122806,1,OK,0.0321092,0.9917497,-0.1159785,-0.0441638,52.223,229.930,-101.745,0.1921429
1,3,122809,1,OK,0.0321339,0.9916358,-0.1164460,-0.0454555,52.414,229.878,-101.801,0.2120980
1,3,122812,1,OK,0.0319202,0.9918316,-0.1151469,-0.0446362,52.268,229.943,-101.734,0.2307754
1,3,122815,1,OK,0.0320572,0.9917436,-0.1156698,-0.0451371,52.174,229.921,-101.792,0.2073615
1,3,122818,1,OK,0.0319840,0.9918350,-0.1150205,-0.0448399,52.019,230.006,-101.745,0.2236781
1,3,122821,1,OK,0.0321417,0.9917320,-0.1157570,-0.0451088,52.146,229.916,-101.832,0.2134453
1,3,122824,1,OK,0.0320576,0.9918011,-0.1154709,-0.0443775,52.247,229.955,-101.706,0.1959801
1,3,122827,1,OK,0.0320720,0.9917939,-0.1154679,-0.0445352,52.150,229.946,-101.768,0.1813434
1,3,122830,1,OK,0.0320528,0.9917836,-0.1152391,-0.0453645,52.046,229.942,-101.834,0.1893073
1,3,122833,1,OK,0.0319634,0.9918244,-0.1151170,-0.0448423,52.131,229.943,-101.789,0.2010730
1,3,122836,1,OK,0.0319855,0.9917238,-0.1160823,-0.0445615,52.410,229.917,-101.702,0.2288917
1,3,122839,1,OK,0.0322027,0.9917426,-0.1163308,-0.0433219,52.606,229.829,-101.785,0.2038386
1,3,122842,1,OK,0.0321160,0.9917381,-0.1159275,-0.0445524,52.183,229.943,-101.754,0.2173005
1,3,122845,1,OK,0.0319765,0.9917825,-0.1156883,-0.0442848,52.717,229.850,-101.707,0.2194227
1,3,122848,1,OK,0.0320302,0.9916933,-0.1163099,-0.0446141,52.477,229.905,-101.746,0.2310557
1,3,122851,1,OK,0.0320432,0.9917059,-0.1161285,-0.0447977,52.261,229.929,-101.766,0.2021886
1,3,122854,1,OK,0.0320083,0.9918249,-0.1149542,-0.0452137,51.700,230.065,-101.712,0.1970313
1,3,122857,1,OK,0.0320269,0.9917380,-0.1159464,-0.0445703,51.930,230.057,-101.654,0.1918086
1,3,122860,1,OK,0.0320304,0.9918106,-0.1154661,-0.0441977,52.074,230.012,-101.711,0.2151475
1,3,122863,1,OK,0.0319150,0.9918045,-0.1153632,-0.0446843,52.268,229.961,-101.716,0.1851353
1,3,122866,1,OK,0.0319431,0.9918820,-0.1145460,-0.0450430,51.877,230.003,-101.771,0.1923677
1,3,122869,1,OK,0.0320860,0.9917223,-0.1160322,-0.0446529,52.086,230.001,-101.700,0.1952375
1,3,122872,1,OK,0.0321224,0.9917312,-0.1159354,-0.0446802,52.243,229.880,-101.819,0.2054262
1,3,122875,1,OK,0.0320815,0.9917438,-0.1160414,-0.0441510,52.329,229.952,-101.705,0.2007144
1,3,122878,1,OK,0.0322388,0.9917110,-0.1160936,-0.0446341,52.224,229.922,-101.789,0.2010280
1,3,122881,1,OK,0.0319618,0.9917877,-0.1157415,-0.0440407,52.248,229.975,-101.671,0.2000263
1,3,122884,1,OK,0.0320065,0.9918166,-0.1153390,-0.0444100,52.160,229.999,-101.697,0.2281239
1,3,122887,1,OK,0.0321030,0.9917863,-0.1157701,-0.0438930,52.373,229.906,-101.750,0.2025199
1,3,122890,1,OK,0.0320732,0.9917385,-0.1161974,-0.0438653,52.270,229.960,-101.646,0.1955016
1,3,122893,1,OK,0.0320070,0.9918301,-0.1152584,-0.0443186,52.337,229.912,-101.760,0.2282415
1,3,122896,1,OK,0.0320431,0.9917479,-0.1161978,-0.0436747,52.576,229.840,-101.743,0.2229170
