Tools,Port 8: NDI 8700340  s/n:34802401,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error
1,8,14936,1,OK,0.1582235,0.3901234,-0.2068424,0.8831678,53.259,-89.513,-1888.878,0.0995328
1,8,14939,1,OK,0.1587303,0.3903986,-0.2066462,0.8830011,53.164,-89.507,-1888.816,0.1227814
1,8,14942,1,OK,0.1587973,0.3905705,-0.2066736,0.8829067,53.088,-89.486,-1888.718,0.1293538
1,8,14945,1,OK,0.1589526,0.3903870,-0.2064961,0.8830014,53.178,-89.546,-1888.816,0.1116235
1,8,14948,1,OK,0.1587935,0.3904041,-0.2065882,0.8830009,53.170,-89.528,-1888.808,0.1238832
1,8,14951,1,OK,0.1592919,0.3907397,-0.2064716,0.8827899,53.153,-89.505,-1888.735,0.1478194
1,8,14954,1,OK,0.1586923,0.3903613,-0.2066313,0.8830279,53.212,-89.521,-1888.834,0.1174871
1,8,14957,1,OK,0.1583351,0.3902323,-0.2068042,0.8831086,53.226,-89.510,-1888.829,0.1130731
1,8,14960,1,OK,0.1585296,0.3905722,-0.2067942,0.8829258,53.093,-89.464,-1888.694,0.1325382
1,8,14963,1,OK,0.1582091,0.3902935,-0.2068886,0.8830843,53.145,-89.485,-1888.769,0.1294656
1,8,14966,1,OK,0.1591749,0.3906203,-0.2064486,0.8828692,53.134,-89.531,-1888.764,0.1231825
1,8,14969,1,OK,0.1582945,0.3903104,-0.2068441,0.8830720,53.200,-89.503,-1888.802,0.1102805
1,8,14972,1,OK,0.1592428,0.3906981,-0.2064715,0.8828172,53.162,-89.507,-1888.751,0.1492181
1,8,14975,1,OK,0.1593906,0.3904040,-0.2062700,0.8829677,53.214,-89.580,-1888.886,0.1244967
1,8,14978,1,OK,0.1587675,0.3902799,-0.2065660,0.8830657,53.222,-89.545,-1888.844,0.1238116
1,8,14981,1,OK,0.1588577,0.3901909,-0.2064634,0.8831128,53.214,-89.567,-1888.901,0.1115416
1,8,14984,1,OK,0.1588190,0.3906377,-0.2066755,0.8828726,53.082,-89.488,-1888.708,0.1310848
