Tools,Port 8: NDI 8700340  s/n:34802401,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error
1,8,28823,1,OK,0.1642964,0.3895733,-0.2318161,0.8760711,65.782,-64.360,-1875.497,0.1149882
1,8,28826,1,OK,0.1644598,0.3896403,-0.2317227,0.8760354,65.763,-64.382,-1875.524,0.1196032
1,8,28829,1,OK,0.1643408,0.3894982,-0.2317628,0.8761103,65.840,-64.403,-1875.587,0.1045974
1,8,28832,1,OK,0.1646459,0.3895949,-0.2316042,0.8760520,65.780,-64.409,-1875.584,0.1287667
1,8,28835,1,OK,0.1633358,0.3892185,-0.2322868,0.8762838,65.860,-64.324,-1875.512,0.0972603
1,8,28838,1,OK,0.1642989,0.3898381,-0.2319254,0.8759239,65.648,-64.293,-1875.383,0.1229318
1,8,28841,1,OK,0.1641941,0.3899197,-0.2319874,0.8758909,65.683,-64.295,-1875.360,0.1281292
1,8,28844,1,OK,0.1646518,0.3897511,-0.2316273,0.8759753,65.745,-64.381,-1875.504,0.1302695
1,8,28847,1,OK,0.1638123,0.3894465,-0.2320746,0.8761497,65.769,-64.340,-1875.500,0.1078434
1,8,28850,1,OK,0.1641898,0.3895145,-0.2318772,0.8761011,65.822,-64.373,-1875.535,0.1124785
1,8,28853,1,OK,0.1644128,0.3895422,-0.2317573,0.8760787,65.783,-64.380,-1875.512,0.1061220
1,8,28856,1,OK,0.1642367,0.3897361,-0.2319601,0.8759718,65.755,-64.310,-1875.429,0.1218597
1,8,28859,1,OK,0.1644560,0.3897084,-0.2318208,0.8759799,65.736,-64.327,-1875.462,0.1333257
1,8,28862,1,OK,0.1643577,0.3895539,-0.2317995,0.8760727,65.816,-64.353,-1875.512,0.1149279
1,8,28865,1,OK,0.1641376,0.3896573,-0.2319540,0.8760270,65.750,-64.329,-1875.472,0.1157179
1,8,28868,1,OK,0.1643720,0.3896626,-0.2318248,0.8760150,65.769,-64.356,-1875.490,0.1131995
1,8,28871,1,OK,0.1642664,0.3896272,-0.2318391,0.8760467,65.786,-64.365,-1875.510,0.1057601
1,8,28874,1,OK,0.1642364,0.3897494,-0.2319158,0.8759777,65.689,-64.326,-1875.442,0.1202595
1,8,28877,1,OK,0.1643426,0.3895527,-0.2317953,0.8760771,65.811,-64.368,-1875.511,0.1097940
1,8,28880,1,OK,0.1646333,0.3897702,-0.2317153,0.8759470,65.727,-64.349,-1875.507,0.1216625
1,8,28883,1,OK,0.1643201,0.3897781,-0.2319293,0.8759456,65.741,-64.310,-1875.446,0.1248315
1,8,28886,1,OK,0.1644149,0.3897495,-0.2318124,0.8759715,65.746,-64.348,-1875.459,0.1238260
1,8,28889,1,OK,0.1638113,0.3893987,-0.2320602,0.8761750,65.803,-64.339,-1875.515,0.1065576
1,8,28892,1,OK,0.1642176,0.3894928,-0.2317950,0.8761273,65.785,-64.399,-1875.551,0.1153691
1,8,28895,1,OK,0.1646076,0.3898470,-0.2317675,0.8759038,65.675,-64.334,-1875.449,0.1267107
1,8,28898,1,OK,0.1643156,0.3898121,-0.2319226,0.8759331,65.741,-64.310,-1875.415,0.1185745
1,8,28901,1,OK,0.1641892,0.3894860,-0.2318446,0.8761225,65.784,-64.361,-1875.547,0.1155584
1,8,28904,1,OK,0.1646828,0.3898006,-0.2316574,0.8759394,65.756,-64.360,-1875.491,0.1216644
1,8,28907,1,OK,0.1643656,0.3895355,-0.2317980,0.8760797,65.817,-64.367,-1875.560,0.1077593
1,8,28910,1,OK,0.1638563,0.3897336,-0.2321824,0.8759853,65.722,-64.279,-1875.368,0.1186528
1,8,28913,1,OK,0.1639716,0.3893537,-0.2319520,0.8761936,65.816,-64.367,-1875.570,0.1010663
1,8,28916,1,OK,0.1645621,0.3897116,-0.2317552,0.8759758,65.722,-64.349,-1875.449,0.1161947
1,8,28919,1,OK,0.1641737,0.3897160,-0.2319834,0.8759864,65.759,-64.314,-1875.419,0.1230218
1,8,28922,1,OK,0.1651281,0.3898911,-0.2314431,0.8758720,65.714,-64.382,-1875.488,0.1294902
1,8,28925,1,OK,0.1644549,0.3895463,-0.2317574,0.8760689,65.842,-64.360,-1875.574,0.1115626
1,8,28928,1,OK,0.1642955,0.3897543,-0.2318955,0.8759698,65.738,-64.326,-1875.454,0.1234332
1,8,28931,1,OK,0.1650174,0.3899093,-0.2315624,0.8758532,65.710,-64.370,-1875.463,0.1219406
1,8,28934,1,OK,0.1645236,0.3897712,-0.2317655,0.8759539,65.720,-64.367,-1875.431,0.1258094
1,8,28937,1,OK,0.1643351,0.3897874,-0.2319269,0.8759393,65.676,-64.311,-1875.391,0.1295240
1,8,28940,1,OK,0.1647754,0.3898497,-0.2316394,0.8759050,65.746,-64.362,-1875.424,0.1300948
1,8,28943,1,OK,0.1641974,0.3898058,-0.2319651,0.8759468,65.688,-64.293,-1875.374,0.1362349
1,8,28946,1,OK,0.1637139,0.3895970,-0.2321630,0.8760778,65.760,-64.297,-1875.435,0.1137864
1,8,28949,1,OK,0.1645278,0.3896965,-0.2317568,0.8759886,65.742,-64.353,-1875.442,0.1178731
1,8,28952,1,OK,0.1638472,0.3897948,-0.2321931,0.8759569,65.664,-64.272,-1875.328,0.1340799
1,8,28955,1,OK,0.1645495,0.3897112,-0.2316805,0.8759982,65.733,-64.384,-1875.451,0.1202784
1,8,28958,1,OK,0.1643462,0.3896300,-0.2318521,0.8760271,65.764,-64.343,-1875.511,0.1082782
