Tools,Port 8: NDI 8700340  s/n:34802401,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error
1,8,90220,1,OK,0.4942870,0.2289113,-0.3272335,0.7721387,87.309,-32.414,-1849.857,0.1385912
1,8,90223,1,OK,0.4944400,0.2292498,-0.3273598,0.7718868,87.234,-32.305,-1849.763,0.1469952
1,8,90226,1,OK,0.4948046,0.2292574,-0.3270628,0.7717768,87.222,-32.406,-1849.857,0.1486810
1,8,90229,1,OK,0.4949768,0.2293426,-0.3269636,0.7716831,87.180,-32.429,-1849.863,0.1606709
1,8,90232,1,OK,0.4948116,0.2292313,-0.3270472,0.7717866,87.220,-32.429,-1849.856,0.1453252
1,8,90235,1,OK,0.4947145,0.2293039,-0.3271549,0.7717817,87.222,-32.380,-1849.832,0.1532677
1,8,90238,1,OK,0.4952423,0.2296210,-0.3270229,0.7714047,87.151,-32.343,-1849.815,0.1669352
1,8,90241,1,OK,0.4943962,0.2291602,-0.3273151,0.7719604,87.280,-32.351,-1849.809,0.1418562
1,8,90244,1,OK,0.4943775,0.2291425,-0.3272687,0.7719973,87.218,-32.352,-1849.780,0.1443775
1,8,90247,1,OK,0.4945628,0.2293622,-0.3273303,0.7717872,87.228,-32.306,-1849.751,0.1544250
1,8,90250,1,OK,0.4949009,0.2295666,-0.3272487,0.7715442,87.168,-32.292,-1849.734,0.1721604
1,8,90253,1,OK,0.4946749,0.2294548,-0.3273547,0.7716775,87.193,-32.291,-1849.716,0.1588320
1,8,90256,1,OK,0.4947649,0.2294275,-0.3272694,0.7716641,87.219,-32.320,-1849.768,0.1566211
1,8,90259,1,OK,0.4944884,0.2291856,-0.3272457,0.7719232,87.231,-32.366,-1849.856,0.1533493
1,8,90262,1,OK,0.4950652,0.2295973,-0.3271819,0.7714581,87.199,-32.303,-1849.755,0.1642464
1,8,90265,1,OK,0.4945043,0.2291753,-0.3272204,0.7719268,87.234,-32.371,-1849.822,0.1492165
1,8,90268,1,OK,0.4942553,0.2292058,-0.3274808,0.7719668,87.268,-32.293,-1849.744,0.1457936
1,8,90271,1,OK,0.4947649,0.2293016,-0.3272637,0.7717039,87.241,-32.339,-1849.786,0.1611704
1,8,90274,1,OK,0.4942153,0.2291262,-0.3274054,0.7720480,87.255,-32.339,-1849.803,0.1452089
