Tools,Port 8: NDI 8700340  s/n:34802401,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error
1,8,35018,1,OK,0.2405726,0.4104726,-0.2581005,0.8408455,112.865,-61.399,-1814.327,0.1275966
1,8,35021,1,OK,0.2400657,0.4102625,-0.2583515,0.8410158,112.973,-61.394,-1814.320,0.1205207
1,8,35024,1,OK,0.2400019,0.4104011,-0.2584516,0.8409357,112.895,-61.349,-1814.289,0.1237361
1,8,35027,1,OK,0.2407497,0.4105655,-0.2580607,0.8407616,112.927,-61.387,-1814.304,0.1363269
1,8,35030,1,OK,0.2399133,0.4104342,-0.2585099,0.8409269,112.866,-61.328,-1814.208,0.1281519
1,8,35033,1,OK,0.2400945,0.4103125,-0.2583680,0.8409781,112.916,-61.378,-1814.310,0.1157158
1,8,35036,1,OK,0.2404216,0.4105417,-0.2582182,0.8408188,112.843,-61.368,-1814.258,0.1307086
1,8,35039,1,OK,0.2394556,0.4102317,-0.2586718,0.8411064,112.904,-61.354,-1814.284,0.1097573
1,8,35042,1,OK,0.2400051,0.4102617,-0.2583844,0.8410234,112.969,-61.388,-1814.331,0.1200664
1,8,35045,1,OK,0.2399506,0.4103791,-0.2584822,0.8409516,112.898,-61.341,-1814.270,0.1336485
1,8,35048,1,OK,0.2402025,0.4104240,-0.2582676,0.8409237,112.915,-61.385,-1814.313,0.1305534
1,8,35051,1,OK,0.2397738,0.4101207,-0.2585159,0.8411177,112.942,-61.368,-1814.321,0.1129934
1,8,35054,1,OK,0.2404677,0.4103271,-0.2581480,0.8409320,112.910,-61.403,-1814.360,0.1214760
1,8,35057,1,OK,0.2404797,0.4104903,-0.2581312,0.8408540,112.867,-61.398,-1814.306,0.1255100
1,8,35060,1,OK,0.2404175,0.4105833,-0.2581909,0.8408081,112.890,-61.385,-1814.288,0.1328300
1,8,35063,1,OK,0.2397524,0.4105568,-0.2586518,0.8408693,112.865,-61.296,-1814.161,0.1318392
1,8,35066,1,OK,0.2403637,0.4106304,-0.2582937,0.8407689,112.860,-61.345,-1814.239,0.1338669
1,8,35069,1,OK,0.2401927,0.4104479,-0.2583518,0.8408890,112.892,-61.353,-1814.228,0.1336383
1,8,35072,1,OK,0.2402539,0.4105702,-0.2583405,0.8408153,112.836,-61.346,-1814.232,0.1367347
1,8,35075,1,OK,0.2398861,0.4103788,-0.2585207,0.8409584,112.881,-61.339,-1814.245,0.1284203
1,8,35078,1,OK,0.2404226,0.4104281,-0.2581713,0.8408884,112.903,-61.401,-1814.345,0.1268307
1,8,35081,1,OK,0.2400136,0.4104543,-0.2584591,0.8409041,112.902,-61.345,-1814.264,0.1243382
1,8,35084,1,OK,0.2395110,0.4102900,-0.2587376,0.8410419,112.913,-61.314,-1814.252,0.1188740
1,8,35087,1,OK,0.2408429,0.4101971,-0.2578542,0.8409782,112.994,-61.476,-1814.496,0.1203748
1,8,35090,1,OK,0.2399385,0.4103439,-0.2584426,0.8409844,112.893,-61.362,-1814.274,0.1236703
1,8,35093,1,OK,0.2398794,0.4101848,-0.2584286,0.8410832,112.909,-61.379,-1814.307,0.1145752
1,8,35096,1,OK,0.2394856,0.4102466,-0.2586950,0.8410834,112.916,-61.334,-1814.260,0.1182267
1,8,35099,1,OK,0.2395247,0.4100924,-0.2586656,0.8411565,112.960,-61.352,-1814.327,0.1094833
1,8,35102,1,OK,0.2400607,0.4103248,-0.2583922,0.8409744,112.944,-61.370,-1814.336,0.1192774
1,8,35105,1,OK,0.2404018,0.4104250,-0.2581716,0.8408958,112.919,-61.398,-1814.329,0.1280197
1,8,35108,1,OK,0.2402050,0.4104244,-0.2583202,0.8409067,112.904,-61.378,-1814.258,0.1313268
1,8,35111,1,OK,0.2398448,0.4103729,-0.2585055,0.8409777,112.874,-61.353,-1814.272,0.1197921
1,8,35114,1,OK,0.2402382,0.4103781,-0.2582624,0.8409375,112.908,-61.391,-1814.299,0.1269768
1,8,35117,1,OK,0.2395014,0.4102961,-0.2587149,0.8410486,112.912,-61.332,-1814.255,0.1176512
1,8,35120,1,OK,0.2405850,0.4103798,-0.2580592,0.8409000,112.945,-61.431,-1814.400,0.1242126
